Date,Day,Month,Year,TempAvg,TempMax,Tempmin,SLP,Humidity,Precipitation,Visibility,WindSpeed,WindSpeedMax,ForestFire,Latitude,Longitude,Altitude,Place
05-06-2015,5,June,2015,28.4,33.6,25.2,1005.8,82,7.11,4,11.1,14.8,No,17.7,83.3,66,Vishakapatnam
06-06-2015,6,June,2015,27.3,31.3,25,1004.2,80,10.92,4,8.3,11.1,No,17.7,83.3,66,Vishakapatnam
07-06-2015,7,June,2015,28.1,32.4,24.2,1004.5,78,2.03,3.5,8,14.8,No,17.7,83.3,66,Vishakapatnam
08-06-2015,8,June,2015,26.3,32.4,23.6,1004.9,90,95,4,8.7,22.2,No,17.7,83.3,66,Vishakapatnam
09-06-2015,9,June,2015,30.4,35,25,1003.5,76,17.02,4,7.8,14.8,No,17.7,83.3,66,Vishakapatnam
10-06-2015,10,June,2015,31.2,35,28.1,1002.2,75,0,4,10.6,16.5,No,17.7,83.3,66,Vishakapatnam
11-06-2015,11,June,2015,31.1,34.2,29,1002.9,75,0,4.8,9.4,24.1,No,17.7,83.3,66,Vishakapatnam
12-06-2015,12,June,2015,27.6,34.2,24.2,1004.8,87,0,4,7.2,14.8,No,17.7,83.3,66,Vishakapatnam
13-06-2015,13,June,2015,27.8,32,24.2,1003.9,84,92.96,4,6.3,14.8,No,17.7,83.3,66,Vishakapatnam
14-06-2015,14,June,2015,27.8,32,25,1002.4,84,38.1,4.8,6.7,9.4,No,17.7,83.3,66,Vishakapatnam
15-06-2015,15,June,2015,28.6,30.7,26.5,1001.2,83,7.87,4,6.9,18.3,No,17.7,83.3,66,Vishakapatnam
16-06-2015,16,June,2015,28.9,31.6,26.7,999.9,83,0.25,4,2.4,5.4,No,17.7,83.3,66,Vishakapatnam
17-06-2015,17,June,2015,29.8,33.2,26.5,998.7,81,0.51,3.5,13.3,22.2,No,17.7,83.3,66,Vishakapatnam
18-06-2015,18,June,2015,28.9,33.8,25.4,997.5,79,19.05,4,11.9,18.3,No,17.7,83.3,66,Vishakapatnam
19-06-2015,19,June,2015,27.5,33.8,26,996.2,87,26.92,3.7,9.3,14.8,No,17.7,83.3,66,Vishakapatnam
20-06-2015,20,June,2015,25.7,29.4,24.4,995.3,90,96.01,4.8,8.3,18.3,No,17.7,83.3,66,Vishakapatnam
21-06-2015,21,June,2015,28.2,31,24.4,996.9,78,23.88,4.8,18.1,27.8,No,17.7,83.3,66,Vishakapatnam
22-06-2015,22,June,2015,28.8,32,24.6,999.5,76,5.08,3.7,18.7,27.8,No,17.7,83.3,66,Vishakapatnam
23-06-2015,23,June,2015,29.3,31.8,24,1001.1,77,35.05,4,14.4,27.8,No,17.7,83.3,66,Vishakapatnam
24-06-2015,24,June,2015,29.6,31.8,28.6,1002.7,77,0,4,13,18.3,No,17.7,83.3,66,Vishakapatnam
25-06-2015,25,June,2015,30.1,33.8,27.6,1001.2,75,0,5.5,15.2,18.3,No,17.7,83.3,66,Vishakapatnam
26-06-2015,26,June,2015,31.2,36.7,28.4,1000.2,68,0,4,9.3,14.8,No,17.7,83.3,66,Vishakapatnam
27-06-2015,27,June,2015,31.8,36.8,27.9,1000.9,65,135.89,4,7.4,14.8,No,17.7,83.3,66,Vishakapatnam
28-06-2015,28,June,2015,30.5,36.8,28.4,1004.1,71,0,4,6.7,11.1,No,17.7,83.3,66,Vishakapatnam
29-06-2015,29,June,2015,29.8,33.2,27.4,1006.6,74,0,4,6.7,14.8,No,17.7,83.3,66,Vishakapatnam
30-06-2015,30,June,2015,29.3,33.2,27.6,1006.1,76,0,4,8.1,11.1,No,17.7,83.3,66,Vishakapatnam
01-07-2015,1,July,2015,29.9,32.4,25.6,1006.2,76,0,4,10.4,18.3,No,17.7,83.3,66,Vishakapatnam
02-07-2015,2,July,2015,29.9,32.4,27.9,1005.9,72,0,4,6.7,14.8,No,17.7,83.3,66,Vishakapatnam
03-07-2015,3,July,2015,31.3,34.8,27.1,1004.7,69,0,4.8,10.7,14.8,No,17.7,83.3,66,Vishakapatnam
04-07-2015,4,July,2015,31.4,34.8,28.4,1002.9,68,0,5.5,10.4,14.8,No,17.7,83.3,66,Vishakapatnam
05-07-2015,5,July,2015,32.7,37.2,29,1001,58,0,4,10.9,44.6,No,17.7,83.3,66,Vishakapatnam
06-07-2015,6,July,2015,34,39,30.1,1000.3,49,0,4.8,10,18.3,No,17.7,83.3,66,Vishakapatnam
07-07-2015,7,July,2015,33.6,39,29,1000.5,52,0,4.8,8.3,11.1,No,17.7,83.3,66,Vishakapatnam
08-07-2015,8,July,2015,32.5,37.3,30,1001.2,60,0,6.9,8.9,14.8,No,17.7,83.3,66,Vishakapatnam
09-07-2015,9,July,2015,31.7,37,29.6,1000.5,66,0,4,10.6,14.8,No,17.7,83.3,66,Vishakapatnam
10-07-2015,10,July,2015,31.2,35.2,28.6,999.6,64,0,5.5,10,16.5,No,17.7,83.3,66,Vishakapatnam
11-07-2015,11,July,2015,29.2,35.2,24.8,1002.2,81,20.07,4,8.3,11.1,No,17.7,83.3,66,Vishakapatnam
12-07-2015,12,July,2015,28.7,32.5,26,1003.6,81,0.25,4,8.1,24.1,No,17.7,83.3,66,Vishakapatnam
13-07-2015,13,July,2015,29.4,32.6,24,1002.3,83,4.06,4,4.4,11.1,No,17.7,83.3,66,Vishakapatnam
14-07-2015,14,July,2015,31.2,34,27.5,1000.6,73,5.08,4,7.2,14.8,No,17.7,83.3,66,Vishakapatnam
15-07-2015,15,July,2015,30.4,35.6,28.2,999,75,0.51,4,3.7,11.1,No,17.7,83.3,66,Vishakapatnam
16-07-2015,16,July,2015,30.9,35.6,27.8,998.7,72,5.08,4.8,5.2,11.1,No,17.7,83.3,66,Vishakapatnam
17-07-2015,17,July,2015,31.5,34,28.6,999.5,74,0,4,6.3,11.1,No,17.7,83.3,66,Vishakapatnam
18-07-2015,18,July,2015,31.1,34,28.8,1000.2,74,0,4,9.6,11.1,No,17.7,83.3,66,Vishakapatnam
19-07-2015,19,July,2015,30.4,33.3,28.4,999.9,70,0,5.5,9.8,14.8,No,17.7,83.3,66,Vishakapatnam
20-07-2015,20,July,2015,29.7,32.6,24.8,999.8,78,7.11,4,8.9,14.8,No,17.7,83.3,66,Vishakapatnam
21-07-2015,21,July,2015,29.4,32.6,26.5,1001.1,78,0.25,6.9,8.7,11.1,No,17.7,83.3,66,Vishakapatnam
22-07-2015,22,July,2015,27.5,31,25,1002.4,88,25.91,5.3,9.6,14.8,No,17.7,83.3,66,Vishakapatnam
